application_id,customer_id,application_date,loan_type,loan_amount,loan_term_months,employment_type,existing_loans,debt_to_income_ratio,credit_inquiries_6m,payment_history_months,approval_status,is_default
APP000001,CUST000001,2024-06-28,Business_Loan,3830111.33,60,Salaried,1,0.224,1,12,Rejected,
APP000002,CUST000002,2025-02-09,Personal_Loan,110732.55,36,Salaried,3,0.326,0,33,Approved,0.0
APP000003,CUST000003,2024-05-08,Personal_Loan,290880.32,60,Student,0,0.324,2,18,Rejected,
APP000004,CUST000004,2024-06-21,Home_Loan,1735421.12,180,Salaried,3,0.382,0,4,Approved,0.0
APP000005,CUST000005,2024-08-21,Personal_Loan,81309.52,36,Salaried,0,0.467,2,55,Rejected,
APP000006,CUST000006,2024-08-16,Personal_Loan,869276.64,12,Self_Employed,2,0.237,1,1,Approved,0.0
APP000007,CUST000007,2025-06-07,Home_Loan,6251441.23,120,Salaried,2,0.77,1,30,Approved,0.0
APP000008,CUST000008,2025-03-22,Personal_Loan,963234.71,24,Salaried,2,0.441,1,44,Approved,0.0
APP000009,CUST000009,2024-11-01,Personal_Loan,862408.43,60,Self_Employed,2,0.344,3,7,Approved,0.0
APP000010,CUST000010,2025-10-08,Personal_Loan,103178.28,36,Self_Employed,2,0.738,5,1,Approved,0.0
APP000011,CUST000011,2023-11-05,Personal_Loan,406752.81,48,Salaried,4,0.486,4,4,Rejected,
APP000012,CUST000012,2024-09-04,Home_Loan,1209698.66,120,Salaried,2,0.196,1,45,Approved,0.0
APP000013,CUST000013,2025-07-29,Home_Loan,6631210.63,120,Salaried,4,0.128,1,59,Approved,0.0
APP000014,CUST000014,2024-08-05,Business_Loan,4102998.68,36,Salaried,2,0.69,1,4,Rejected,
APP000015,CUST000015,2025-05-23,Credit_Card,77046.0,0,Retired,0,0.256,6,7,Rejected,
APP000016,CUST000016,2024-11-09,Home_Loan,6970177.17,300,Self_Employed,2,0.543,2,1,Approved,0.0
APP000017,CUST000017,2025-06-21,Personal_Loan,812520.09,48,Retired,4,0.794,3,18,Rejected,
