customer_id,age,gender,income_level,annual_income,city,account_age_months,credit_score
CUST000001,52,M,Medium,53786.92564050191,Kolkata,13,771
CUST000002,42,M,Low,26998.570675428153,Chennai,41,651
CUST000003,54,M,High,118010.87570100419,Mumbai,62,656
CUST000004,67,M,Medium,55340.07524463628,Delhi,19,701
CUST000005,41,M,Medium,40057.0291315013,Kolkata,82,769
CUST000006,41,F,Low,34635.44050173975,Pune,2,590
CUST000007,68,F,Medium,70068.68165913934,Pune,65,740
CUST000008,56,F,High,132288.22232807393,Ahmedabad,63,662
CUST000009,37,M,Medium,53800.826664418666,Ahmedabad,13,674
CUST000010,53,M,Very High,332801.3156589102,Bangalore,12,850
CUST000011,38,M,Very High,275990.73136183433,Chennai,13,684
CUST000012,38,Other,Low,20320.728000612915,Kolkata,60,760
CUST000013,48,F,Low,31248.978825428378,Pune,64,757
CUST000014,18,F,High,88663.24662588077,Hyderabad,14,605
CUST000015,19,M,Medium,43201.65296365762,Kolkata,32,552
CUST000016,36,F,Low,35109.98137393574,Hyderabad,5,765
CUST000017,29,M,Medium,40380.24809672422,Chennai,22,613
CUST000018,49,F,Medium,78360.33774434905,Mumbai,240,566
CUST000019,31,F,High,116067.87548788037,Hyderabad,6,782
CUST000020,23,Other,Low,39660.32861412297,Kolkata,106,618
CUST000021,66,F,Low,21159.95144945417,Ahmedabad,62,638
CUST000022,41,M,Very High,354235.34210306965,Kolkata,128,850
CUST000023,46,F,High,104452.89251831378,Pune,7,567
CUST000024,23,F,Medium,73739.29971257143,Ahmedabad,8,599
CUST000025,36,M,High,105285.59146640004,Hyderabad,1,663
CUST000026,46,M,Medium,50419.503162293964,Delhi,46,680
CUST000027,27,M,High,140028.71889699393,Pune,37,628
CUST000028,50,M,Medium,54986.12366613044,Delhi,7,607
CUST000029,35,M,Low,20336.66639721123,Delhi,56,820
CUST000030,40,F,High,107320.23705875337,Hyderabad,12,721
CUST000031,35,M,Medium,66180.89076043767,Hyderabad,5,746
CUST000032,72,M,Very High,239025.83858223364,Kolkata,19,689
CUST000033,44,F,Medium,57279.503697006294,Chennai,3,723
CUST000034,29,F,Very High,169850.29839877892,Chennai,10,774
CUST000035,57,F,Very High,355832.47702988505,Mumbai,16,620
CUST000036,26,M,Low,35125.89847720788,Ahmedabad,68,721
CUST000037,48,F,High,108931.87929807772,Hyderabad,56,755
CUST000038,18,F,Medium,56809.3053120584,Pune,21,823
CUST000039,25,M,Very High,180898.87450472076,Ahmedabad,46,850
CUST000040,47,M,Medium,48077.6345804793,Pune,30,705
CUST000041,56,F,High,90827.27121895389,Ahmedabad,15,791
CUST000042,47,F,Medium,59267.510746461514,Chennai,46,486
CUST000043,43,Other,Low,30585.110819015004,Chennai,41,824
CUST000044,40,F,Low,38978.8026256852,Delhi,34,641
CUST000045,22,F,Medium,42929.26017108936,Delhi,34,680
CUST000046,34,F,High,121990.75812085331,Pune,41,735
CUST000047,38,M,Medium,61059.94109312965,Pune,17,687
CUST000048,60,M,High,116136.31685550805,Delhi,73,715
CUST000049,50,M,Medium,74926.37149531305,Bangalore,6,827
CUST000050,18,F,Medium,48221.53882781946,Ahmedabad,77,669
CUST000051,49,F,Low,20815.46548682743,Chennai,15,613
CUST000052,39,F,High,127059.00553439348,Delhi,4,845
CUST000053,34,M,Very High,270805.11244759307,Delhi,32,742
CUST000054,54,F,Medium,40703.596648500985,Hyderabad,16,850
CUST000055,60,M,Low,25027.480145808277,Pune,60,769
CUST000056,58,M,Low,26186.535484336237,Kolkata,20,594
CUST000057,32,F,High,123178.68637489693,Delhi,39,751
CUST000058,40,F,Medium,46903.43176197088,Hyderabad,13,621
CUST000059,49,Other,High,108913.80435673786,Mumbai,8,700
CUST000060,59,M,Medium,59299.0177767133,Delhi,17,693
CUST000061,37,F,High,112146.61739548636,Kolkata,33,570
CUST000062,42,M,High,148175.85366667472,Hyderabad,38,634
CUST000063,28,M,Medium,41820.16951161184,Kolkata,31,850
CUST000064,27,F,Medium,78038.72745809596,Delhi,159,719
CUST000065,57,F,Low,31638.744279880666,Mumbai,42,685
CUST000066,65,F,Medium,71829.10859879354,Delhi,96,845
CUST000067,43,M,High,110127.48326112528,Hyderabad,4,668
CUST000068,60,F,Medium,58153.51525027922,Mumbai,2,692
CUST000069,50,M,High,141552.85493110766,Mumbai,13,779
CUST000070,35,F,Medium,75837.37985167609,Mumbai,5,667
CUST000071,50,M,Low,24773.777628625954,Bangalore,26,640
CUST000072,68,M,Medium,47969.675143384724,Hyderabad,26,519
CUST000073,44,F,Medium,59849.40695479805,Bangalore,30,625
CUST000074,68,F,Medium,76011.08108510767,Kolkata,49,624
CUST000075,18,M,Low,26447.101868123525,Mumbai,127,712
CUST000076,57,M,Medium,66080.58461356525,Bangalore,75,651
CUST000077,46,F,Low,34163.03375481202,Delhi,4,850
CUST000078,40,M,Low,35573.49329788312,Bangalore,14,615
CUST000079,46,M,Medium,62556.97831683853,Chennai,10,812
CUST000080,18,M,Medium,56098.207131158786,Kolkata,7,717
CUST000081,41,M,Very High,488455.5960796405,Mumbai,28,764
CUST000082,50,F,Medium,64453.23013211411,Mumbai,29,759
CUST000083,67,F,High,130999.56481432896,Pune,9,522
CUST000084,37,F,Medium,53799.31382783513,Ahmedabad,44,699
CUST000085,32,Other,High,126896.4426702156,Kolkata,47,679
CUST000086,37,M,Medium,50311.906486565036,Kolkata,1,609
CUST000087,58,M,Very High,235783.92113502265,Hyderabad,18,736
CUST000088,49,M,Medium,68588.88807237706,Delhi,79,837
CUST000089,37,M,High,116497.63153840546,Pune,26,486
CUST000090,52,M,Medium,67331.06441689559,Kolkata,15,657
CUST000091,46,F,Low,25388.769814961834,Pune,10,600
CUST000092,59,F,High,121910.63387397112,Kolkata,10,705
CUST000093,34,M,Low,28878.672994062254,Pune,3,673
CUST000094,40,F,Medium,63878.41147382112,Hyderabad,61,651
CUST000095,39,F,Low,25817.594644884386,Kolkata,3,755
CUST000096,23,F,Medium,68618.03854596496,Bangalore,12,830
CUST000097,49,F,Very High,432075.27815581294,Chennai,1,850
CUST000098,48,F,Medium,50396.65895430895,Chennai,54,640
CUST000099,45,F,High,101043.43918989494,Chennai,1,554
CUST000100,41,F,Medium,66446.17078876372,Kolkata,13,744
CUST000101,23,F,Medium,67823.40697214176,Pune,30,828
CUST000102,38,M,Very High,396434.88953910756,Chennai,18,765
CUST000103,39,M,High,127788.89533430857,Delhi,11,828
CUST000104,32,F,High,107496.54018667771,Bangalore,11,681
CUST000105,42,M,Medium,55794.14697614714,Chennai,57,651
CUST000106,51,M,Medium,50192.70494577526,Mumbai,131,709
CUST000107,73,F,Low,23136.67399792726,Kolkata,15,673
CUST000108,47,M,Medium,67703.09517587622,Bangalore,1,753
CUST000109,48,F,Medium,43727.551438892515,Delhi,1,777
CUST000110,43,F,High,145645.46007507472,Chennai,51,783
CUST000111,18,Other,High,137868.0412570016,Delhi,28,740
