incident_id,timestamp,cpu_utilization,memory_usage,db_connection_pool_usage,network_throughput_mbps,application_error_rate,neft_success_rate,imps_success_rate,rtgs_success_rate,avg_transaction_processing_time_ms,incident_type,severity,is_critical
INC000001,2025-10-20 00:00:00,42.82,36.96,25.62,168.08,0,99.46,99.2,99.71,108.99,Normal,Low,0
INC000002,2025-10-20 01:00:00,38.23,39.58,33.64,215.29,2,96.62,98.36,99.86,100.11,Normal,Low,0
INC000003,2025-10-20 02:00:00,35.37,38.81,22.94,218.44,2,96.49,98.61,99.1,100.0,Normal,Low,0
INC000004,2025-10-20 03:00:00,36.81,37.07,39.59,185.52,3,98.56,99.96,99.6,100.0,Normal,Low,0
INC000005,2025-10-20 04:00:00,43.25,33.7,39.36,215.06,4,99.96,99.51,99.44,140.75,Normal,Low,0
INC000006,2025-10-20 05:00:00,40.47,36.12,25.99,196.43,1,96.84,98.12,99.55,108.46,Normal,Low,0
INC000007,2025-10-20 06:00:00,38.42,35.75,39.97,210.56,1,96.06,99.93,99.38,100.0,Normal,Low,0
INC000008,2025-10-20 07:00:00,43.84,34.89,43.6,166.4,1,98.27,99.86,99.67,151.31,Normal,Low,0
INC000009,2025-10-20 08:00:00,40.25,36.45,41.94,248.74,2,96.85,99.35,99.41,119.8,Normal,Low,0
INC000010,2025-10-20 09:00:00,72.98,64.63,56.36,368.33,0,98.49,99.56,99.5,424.14,Normal,Low,0
INC000011,2025-10-20 10:00:00,68.73,61.47,51.1,394.64,1,96.0,99.19,99.92,378.81,Normal,Low,0
INC000012,2025-10-20 11:00:00,87.65349821141189,87.66750614538915,93.49997148750919,326.2,11,87.20850622109796,99.82,99.27,428.4,Resource_Exhaustion,Critical,1
INC000013,2025-10-20 12:00:00,70.6,65.44,58.48,381.62,2,98.18,98.43,99.48,398.73,Normal,Low,0
INC000014,2025-10-20 13:00:00,75.17,62.13,53.84,362.84,4,98.59,99.91,99.79,433.29,Resource_Warning,Medium,0
INC000015,2025-10-20 14:00:00,75.55,65.73,53.06,323.97,3,97.03,99.5,99.09,448.3,Resource_Warning,Medium,0
INC000016,2025-10-20 15:00:00,70.75,61.56,57.64,328.71,0,96.01,98.2,99.79,425.98,Normal,Low,0
INC000017,2025-10-20 16:00:00,68.03,65.56,62.87,383.77,2,98.29,99.97,99.29,392.11,Normal,Low,0
INC000018,2025-10-20 17:00:00,71.89,60.13,55.04,381.14,1,99.94,99.78,99.77,415.35,Normal,Low,0
INC000019,2025-10-20 18:00:00,45.59,37.17,37.3,198.54,0,99.19,98.07,99.7,136.85,Normal,Low,0
INC000020,2025-10-20 19:00:00,40.04,33.77,36.52,224.28,1,98.59,99.99,99.62,100.0,Normal,Low,0
INC000021,2025-10-20 20:00:00,40.66,33.83,28.42,190.64,3,96.97,99.98,99.95,109.18,Normal,Low,0
INC000022,2025-10-20 21:00:00,94.16612036108211,82.60930493216091,85.12564204550893,217.73,19,86.80238574950978,98.37,99.44,100.0,Resource_Exhaustion,Critical,1
INC000023,2025-10-20 22:00:00,37.06,35.96,22.48,161.52,2,99.17,98.19,99.44,100.0,Normal,Low,0
INC000024,2025-10-20 23:00:00,34.28,34.35,20.13,180.51,0,96.1,99.65,99.92,100.0,Normal,Low,0
INC000025,2025-10-21 00:00:00,45.06,35.71,30.54,181.47,3,99.44,99.03,99.54,165.04,Normal,Low,0
