timestamp,cpu_utilization,memory_usage,db_connection_pool_usage,network_throughput_mbps,application_error_rate,neft_success_rate,imps_success_rate,rtgs_success_rate,avg_transaction_processing_time_ms,auth_success_rate,transaction_volume_per_hour,service_uptime
2025-10-20 00:00:00,42.82,36.96,25.62,168.08,0,99.46,99.2,99.71,108.99,99.47,4664,100.0
2025-10-20 00:01:00,36.99,33.99,25.53,179.73,2,98.45,98.28,99.29,100.0,98.96,4570,100.0
2025-10-20 00:02:00,40.99,33.33,34.22,167.39,0,99.8,99.93,99.81,102.1,98.6,4368,100.0
2025-10-20 00:03:00,37.98,32.66,30.48,146.32,3,98.08,99.09,99.18,100.0,99.28,4878,100.0
2025-10-20 00:04:00,44.44,33.69,26.14,155.62,1,97.09,99.66,99.36,135.61,99.04,3281,100.0
2025-10-20 00:05:00,43.9,34.11,42.62,231.63,1,99.26,99.41,99.73,149.89,98.57,3716,100.0
2025-10-20 00:06:00,34.13,33.73,27.0,215.42,3,98.85,99.52,99.56,100.0,98.99,4045,100.0
2025-10-20 00:07:00,40.38,33.98,25.26,158.64,2,99.63,98.5,99.41,113.97,98.73,3153,100.0
2025-10-20 00:08:00,43.49,37.24,33.86,233.1,2,98.16,99.61,99.9,127.6,98.61,3455,100.0
2025-10-20 00:09:00,38.77,37.53,38.71,148.19,2,96.48,98.68,99.94,100.0,99.02,4406,100.0
2025-10-20 00:10:00,44.88,34.7,32.2,181.38,1,98.44,99.01,99.05,139.97,99.41,3479,100.0
2025-10-20 00:11:00,36.37,35.88,41.64,173.83,2,98.91,98.74,99.63,100.0,99.04,3180,100.0
2025-10-20 00:12:00,36.37,32.87,33.32,215.29,0,98.05,98.45,99.65,100.0,99.19,3773,100.0
2025-10-20 00:13:00,45.29,34.52,29.74,165.96,4,98.22,99.06,99.24,136.63,99.4,4800,100.0
2025-10-20 00:14:00,37.05,36.28,38.5,231.51,2,96.65,99.8,99.61,100.0,98.6,4327,100.0
2025-10-20 00:15:00,36.24,34.86,34.17,225.14,2,96.95,98.65,99.75,100.0,99.35,4315,100.0
2025-10-20 00:16:00,37.81,33.94,26.01,242.96,4,98.31,98.99,99.2,100.0,98.78,3048,100.0
2025-10-20 00:17:00,41.6,34.17,40.96,246.12,2,99.71,98.86,99.97,134.55,99.35,3588,100.0
2025-10-20 00:18:00,39.21,34.8,34.18,248.84,2,98.46,99.98,99.14,100.0,99.38,4481,100.0
2025-10-20 00:19:00,41.63,36.96,28.85,177.65,5,99.19,99.3,99.7,128.11,99.39,3675,100.0
2025-10-20 00:20:00,40.01,32.64,30.54,200.4,2,96.15,99.65,99.36,100.0,99.02,4539,100.0
2025-10-20 00:21:00,36.92,36.56,23.47,153.98,3,99.9,99.03,99.32,100.0,98.77,3877,100.0
2025-10-20 00:22:00,35.96,33.36,26.23,201.06,2,99.82,99.48,99.55,100.0,98.92,3495,100.0
2025-10-20 00:23:00,40.22,38.79,23.95,169.91,0,96.16,99.71,99.7,101.18,98.6,3983,100.0
2025-10-20 00:24:00,38.04,34.42,33.02,207.03,0,97.5,99.25,99.5,100.0,99.16,3325,100.0
2025-10-20 00:25:00,35.6,36.78,22.43,208.05,3,97.83,99.09,99.94,100.0,99.46,4810,100.0
2025-10-20 00:26:00,35.99,35.12,39.18,153.73,2,98.79,99.26,99.88,100.0,99.3,3564,100.0
2025-10-20 00:27:00,36.15,37.04,37.51,245.94,2,97.36,99.86,99.86,100.0,99.25,4509,100.0
2025-10-20 00:28:00,39.51,39.35,31.09,157.61,1,97.28,99.9,99.95,100.0,99.13,3896,100.0
2025-10-20 00:29:00,37.95,34.99,35.47,225.34,2,97.98,98.12,99.55,100.0,99.39,3701,100.0
2025-10-20 00:30:00,36.63,33.97,36.63,160.35,2,96.34,99.97,99.37,100.0,99.31,4894,100.0
2025-10-20 00:31:00,46.22,38.54,30.88,165.14,4,97.97,98.02,99.47,144.43,98.62,3235,100.0
2025-10-20 00:32:00,42.1,39.73,30.77,184.93,3,99.88,98.09,99.89,122.16,99.49,3147,100.0
2025-10-20 00:33:00,41.31,39.39,33.23,216.79,3,99.6,98.09,99.28,131.11,99.39,3911,100.0
2025-10-20 00:34:00,35.43,34.69,27.61,201.1,0,99.9,99.97,99.7,100.0,98.81,4627,100.0
2025-10-20 00:35:00,42.63,34.56,41.0,236.17,6,96.11,98.75,99.81,145.8,96.65,4188,100.0
2025-10-20 00:36:00,43.76,38.29,31.71,193.19,1,99.46,99.63,100.0,157.49,99.06,4537,100.0
2025-10-20 00:37:00,44.36,38.03,26.86,194.62,0,99.82,99.21,99.23,150.48,99.12,3716,100.0
2025-10-20 00:38:00,40.54,37.88,32.74,236.88,3,96.54,98.06,99.76,110.17,99.2,3425,100.0
2025-10-20 00:39:00,35.62,32.53,28.26,205.25,3,98.06,99.57,99.4,100.0,99.36,4899,100.0
2025-10-20 00:40:00,37.89,37.6,30.15,174.36,2,96.52,98.26,99.15,100.0,99.14,3363,100.0
2025-10-20 00:41:00,38.4,38.34,31.42,216.48,1,96.16,98.34,99.28,100.0,98.59,3241,100.0
2025-10-20 00:42:00,37.21,34.94,34.37,146.76,2,99.49,99.84,99.06,100.0,99.31,4496,100.0
2025-10-20 00:43:00,36.65,34.11,29.22,197.49,2,98.99,98.07,99.25,100.0,99.4,4023,100.0
