transaction_id,customer_id,timestamp,transaction_type,amount,merchant_category,device_type,location,processing_time_ms,is_fraud
TXN0000006217,CUST001141,2025-09-11 18:10:33,UPI,2263.76,Education,Web_Mobile,Delhi,1250.51,0
TXN0000008782,CUST001598,2025-08-23 17:26:34,UPI,41978.43,Fuel,ATM,Delhi,1072.2,0
TXN0000022311,CUST004059,2025-10-05 01:52:37,IMPS,72791.1,Travel,Web_Desktop,Pune,908.33,0
TXN0000010022,CUST001835,2025-09-19 04:37:34,UPI,20349.39,Retail,Mobile_iOS,Mumbai,391.9,0
TXN0000027277,CUST004976,2025-08-16 00:53:38,RTGS,1428038.37,Healthcare,Mobile_Android,Chennai,796.37,0
TXN0000018198,CUST003308,2025-10-26 21:20:36,UPI,26885.23,Fuel,Mobile_iOS,Mumbai,1589.97,0
TXN0000012843,CUST002339,2025-09-16 01:34:35,UPI,1909.92,Utilities,Mobile_iOS,Bangalore,419.97,0
TXN0000020654,CUST003748,2025-10-13 02:41:36,UPI,44694.91,Other,Web_Desktop,Mumbai,376.57,0
TXN0000013877,CUST002528,2025-08-21 18:52:35,Card_Payment,72168.14,Retail,ATM,Ahmedabad,540.51,0
TXN0000001454,CUST000260,2025-08-07 21:50:32,NEFT,280724.98,Retail,Web_Desktop,Mumbai,126.99,1
TXN0000010338,CUST001891,2025-08-11 15:31:34,IMPS,85464.2,Food,Web_Mobile,Bangalore,1730.39,0
TXN0000012377,CUST002252,2025-08-18 03:01:35,IMPS,142586.0,Food,ATM,Pune,1657.46,0
TXN0000013549,CUST002464,2025-10-24 01:09:35,UPI,24001.57,Fuel,Mobile_Android,Kolkata,1102.92,0
TXN0000008787,CUST001599,2025-09-06 01:49:34,UPI,28029.47,Food,Mobile_Android,Ahmedabad,1231.89,0
TXN0000016274,CUST002958,2025-09-05 21:42:36,IMPS,143807.1,Online_Shopping,Mobile_Android,Bangalore,1216.42,0
